#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8
512 3 0 0 0 0 0 0 0 0
513 1 0 0 0 0 0 0 0 0
514 1 0 0 0 0 0 0 0 0
515 0 0 0 0 0 0 0 0 0
516 2 0 0 0 0 0 0 0 0
517 1 0 0 0 0 0 0 0 0
518 4 0 0 0 0 0 0 0 0
519 4 0 0 0 0 0 0 0 0
520 2 0 0 0 0 0 0 0 0
521 2 0 0 0 0 0 0 0 0
522 3 0 0 0 0 0 0 0 0
523 1 0 0 0 0 0 0 0 0
524 4 0 0 0 0 0 0 0 0
525 2 0 0 0 0 0 0 0 0
526 4 0 0 0 0 0 0 0 0
527 1 0 0 0 0 0 0 0 0
528 0 0 0 0 0 0 0 0 0
529 5 0 0 0 0 0 0 0 0
530 2 0 0 0 0 0 0 0 0
531 0 0 0 0 0 0 0 0 0
532 0 0 0 0 0 0 0 0 0
533 1 0 0 0 0 0 0 0 0
534 3 0 0 0 0 0 0 0 0
535 4 0 0 0 0 0 0 0 0
536 0 0 0 0 0 0 0 0 0
537 3 0 0 0 0 0 0 0 0
538 3 0 0 0 0 0 0 0 0
539 3 0 0 0 0 0 0 0 0
540 0 0 0 0 0 0 0 0 0
541 6 0 0 0 0 0 0 0 0
542 0 0 0 0 0 0 0 0 0
543 2 0 0 0 0 0 0 0 0
544 1 0 0 0 0 0 0 0 0
545 0 0 0 0 0 0 0 0 0
546 1 0 0 0 0 0 0 0 0
547 2 0 0 0 0 0 0 0 0
548 0 0 0 0 0 0 0 0 0
549 0 0 0 0 0 0 0 0 0
550 0 0 0 0 0 0 0 0 0
551 3 0 0 0 0 0 0 0 0
552 3 0 0 0 0 0 0 0 0
553 4 0 0 0 0 0 0 0 0
554 4 0 0 0 0 0 0 0 0
555 2 0 0 0 0 0 0 0 0
556 4 0 0 0 0 0 0 0 0
557 3 0 0 0 0 0 0 0 0
558 0 0 0 0 0 0 0 0 0
559 3 0 0 0 0 0 0 0 0
560 2 0 0 0 0 0 0 0 0
561 0 0 0 0 0 0 0 0 0
562 0 0 0 0 0 0 0 0 0
563 5 0 0 0 0 0 0 0 0
564 4 0 0 0 0 0 0 0 0
565 0 0 0 0 0 0 0 0 0
566 3 0 0 0 0 0 0 0 0
567 1 0 0 0 0 0 0 0 0
568 2 0 0 0 0 0 0 0 0
569 1 0 0 0 0 0 0 0 0
570 1 0 0 0 0 0 0 0 0
571 0 0 0 0 0 0 0 0 0
572 0 0 0 0 0 0 0 0 0
573 6 0 0 0 0 0 0 0 0
574 2 0 0 0 0 0 0 0 0
575 2 0 0 0 0 0 0 0 0
576 5 0 0 0 0 0 0 0 0
577 0 0 0 0 0 0 0 0 0
578 2 0 0 0 0 0 0 0 0
579 1 0 0 0 0 0 0 0 0
580 2 0 0 0 0 0 0 0 0
581 3 0 0 0 0 0 0 0 0
582 3 0 0 0 0 0 0 0 0
583 1 0 0 0 0 0 0 0 0
584 4 0 0 0 0 0 0 0 0
585 3 0 0 0 0 0 0 0 0
586 5 0 0 0 0 0 0 0 0
587 4 0 0 0 0 0 0 0 0
588 0 0 0 0 0 0 0 0 0
589 5 0 0 0 0 0 0 0 0
590 3 0 0 0 0 0 0 0 0
591 0 0 0 0 0 0 0 0 0
592 4 0 0 0 0 0 0 0 0
593 4 0 0 0 0 0 0 0 0
594 1 0 0 0 0 0 0 0 0
595 0 0 0 0 0 0 0 0 0
596 1 0 0 0 0 0 0 0 0
597 2 0 0 0 0 0 0 0 0
598 5 0 0 0 0 0 0 0 0
599 2 0 0 0 0 0 0 0 0
600 3 0 0 0 0 0 0 0 0
601 4 0 0 0 0 0 0 0 0
602 0 0 0 0 0 0 0 0 0
603 1 0 0 0 0 0 0 0 0
604 4 0 0 0 0 0 0 0 0
605 3 0 0 0 0 0 0 0 0
606 0 0 0 0 0 0 0 0 0
607 0 0 0 0 0 0 0 0 0
608 3 0 0 0 0 0 0 0 0
609 4 0 0 0 0 0 0 0 0
610 3 0 0 0 0 0 0 0 0
611 2 0 0 0 0 0 0 0 0
612 2 0 0 0 0 0 0 0 0
613 1 0 0 0 0 0 0 0 0
614 4 0 0 0 0 0 0 0 0
