#1.N,2.ctlg,3.ctlg_eps,4.ctlg_perm,5.K,6.alpha0,7.alpha_eps,8.req_eps,9.R_perm,10.hit_opt%,11.hit_unif%,12.improvement%,c2ctlg
4,10000000,0.4,1,10,1,0.4,0.2,1,25.9995,21.967,4.0325,1E-6
8,100000,0.2,1,10,1,0.4,0.2,1,20.2091,16.1779,4.03112,1E-4
4,10000000,0,2,10,1,0.2,0,2,15.5892,11.56,4.02917,1E-6
2,100000,0,1,10,1,0.2,0.4,1,34.4293,30.4158,4.01355,1E-4
2,100000,0,2,10,1,0.2,0.4,1,34.4293,30.4158,4.01355,1E-4
8,10000000,0.4,1,10,1,0.4,0,2,16.407,12.4063,4.00067,1E-6
4,10000000,0.4,1,10,1,0.4,0.2,2,18.9309,14.9362,3.99468,1E-6
8,100000,0.2,2,10,1,0.4,0.4,1,22.6777,18.6865,3.99112,1E-4
2,100000,0.4,2,10,1,0.4,0,1,34.7417,30.7509,3.99072,1E-4
2,100000,0.4,2,10,1,0.4,0,2,34.7417,30.7509,3.99072,1E-4
4,1000000,0.2,2,10,1,0.4,0,1,23.0297,19.0538,3.97596,1E-5
4,1000000,0,2,10,1,0.4,0,1,23.0153,19.058,3.95733,1E-5
2,100000,0.4,2,100,0.7,0.4,0.4,1,31.4659,27.523,3.94294,1E-3
2,100000,0.2,2,10,1,0.4,0,1,34.6919,30.7526,3.93927,1E-4
2,100000,0.2,2,10,1,0.4,0,2,34.6919,30.7526,3.93927,1E-4
4,1000000,0.2,1,10,1,0.4,0,1,23.0047,19.0692,3.93541,1E-5
8,1000000,0,1,10,1,0.4,0,1,16.9528,13.0208,3.93198,1E-5
8,1000000,0,2,10,1,0.4,0,1,16.9528,13.0208,3.93198,1E-5
8,100000,0,2,10,1,0.4,0,2,17.8609,13.9357,3.92518,1E-4
8,1000000,0.4,2,10,1,0.4,0,1,16.9945,13.0696,3.92487,1E-5
2,10000000,0.4,2,10,1,0.2,0.2,1,27.7358,23.8206,3.91514,1E-6
2,100000,0.2,1,10,1,0.2,0.4,1,34.2888,30.4015,3.88728,1E-4
8,10000000,0.4,2,10,1,0.4,0,1,16.4527,12.5731,3.8796,1E-6
4,100000,0.2,2,10000,1,0.4,0.4,2,68.7849,64.9053,3.87953,1E-1
2,100000,0,1,10,1,0.4,0,1,34.6571,30.7792,3.8779,1E-4
2,100000,0,1,10,1,0.4,0,2,34.6571,30.7792,3.8779,1E-4
2,100000,0,2,10,1,0.4,0,1,34.6571,30.7792,3.8779,1E-4
2,100000,0,2,10,1,0.4,0,2,34.6571,30.7792,3.8779,1E-4
2,10000000,0.2,2,10,1,0.2,0.2,1,27.6624,23.7901,3.87228,1E-6
4,100000,0.4,1,10,1,0.2,0.4,1,22.9436,19.0906,3.85298,1E-4
2,100000,0.2,2,10000,1,0.2,0.4,2,71.5824,67.7363,3.84609,1E-1
4,1000000,0.4,2,10,1,0.2,0.4,1,21.4102,17.5692,3.84096,1E-5
2,10000000,0,1,10,1,0.2,0.2,1,27.6086,23.7826,3.82601,1E-6
2,10000000,0,2,10,1,0.2,0.2,1,27.6086,23.7826,3.82601,1E-6
2,100000,0.4,2,10,0.7,0.4,0.4,1,17.3695,13.548,3.82144,1E-4
2,100000,0.2,1,10,1,0.4,0,1,34.631,30.8319,3.79901,1E-4
2,100000,0.2,1,10,1,0.4,0,2,34.631,30.8319,3.79901,1E-4
2,100000,0.4,1,10000,1,0.4,0.2,1,82.0075,78.2194,3.78805,1E-1
2,100000,0.2,2,100,0.7,0.4,0.4,1,30.5646,26.786,3.77863,1E-3
2,10000000,0.2,1,10,1,0.2,0.2,1,27.5665,23.795,3.7715,1E-6
8,100000,0,1,10,1,0.4,0.2,1,20.2447,16.4756,3.76908,1E-4
8,100000,0,2,10,1,0.4,0.2,1,20.2447,16.4756,3.76908,1E-4
4,10000000,0.4,2,10,1,0.2,0.4,1,20.1652,16.4001,3.76509,1E-6
4,1000000,0.4,2,10,1,0.4,0.2,1,26.5623,22.8038,3.75845,1E-5
4,1000000,0.2,1,10,1,0.4,0.2,2,19.5872,15.8293,3.75787,1E-5
8,10000000,0.2,1,10,1,0.4,0.2,2,14.0984,10.3556,3.74281,1E-6
4,1000000,0.2,2,10,1,0.4,0.2,1,26.5314,22.7982,3.73315,1E-5
2,100000,0.2,2,10000,1,0.4,0,1,71.1722,67.4392,3.73305,1E-1
2,100000,0.2,2,10000,1,0.4,0,2,71.1722,67.4392,3.73305,1E-1
4,1000000,0.4,2,10,1,0.4,0,1,23.0493,19.3166,3.73272,1E-5
2,100000,0.4,1,10,1,0.2,0.4,1,34.1747,30.4471,3.72761,1E-4
8,100000,0.2,1,10000,1,0.4,0.4,2,72.3965,68.6818,3.71464,1E-1
4,1000000,0,1,10,1,0.4,0.2,1,26.506,22.7995,3.70652,1E-5
4,1000000,0,2,10,1,0.4,0.2,1,26.506,22.7995,3.70652,1E-5
4,100000,0.2,2,10,1,0.4,0.2,2,20.6826,16.9791,3.70349,1E-4
4,100000,0.4,2,10,1,0.4,0,2,24.1934,20.4913,3.70209,1E-4
2,10000000,0.4,1,10,1,0.2,0.2,1,27.5322,23.831,3.70122,1E-6
2,100000,0.2,2,10,0.7,0.4,0.4,1,16.872,13.1713,3.70062,1E-4
8,100000,0,1,10,1,0.4,0.4,1,22.6285,18.9284,3.7001,1E-4
4,100000,0,1,10,1,0.4,0.2,1,27.5828,23.8837,3.69912,1E-4
2,100000,0.4,1,10,1,0.4,0,1,34.6103,30.922,3.68835,1E-4
2,100000,0.4,1,10,1,0.4,0,2,34.6103,30.922,3.68835,1E-4
2,100000,0.2,1,10000,0.4,0.2,0.4,2,28.8734,25.1865,3.6869,1E-1
4,10000000,0.2,1,10,1,0.2,0.4,1,20.042,16.3556,3.6864,1E-6
8,10000000,0.2,1,10,1,0.2,0.4,1,14.0175,10.3469,3.67056,1E-6
4,1000000,0.4,1,10,1,0.2,0.4,1,21.168,17.5127,3.65529,1E-5
8,100000,0.4,2,10000,0.4,0.4,0.4,1,32.9927,29.3381,3.65464,1E-1
4,100000,0.2,1,10000,1,0.4,0.2,2,74.2386,70.5873,3.65129,1E-1
2,100000,0.4,2,10000,1,0.2,0.4,2,70.2542,66.6094,3.64476,1E-1
2,100000,0,1,100,0.7,0.4,0.4,1,29.897,26.2623,3.63475,1E-3
2,100000,0,2,100,0.7,0.4,0.4,1,29.897,26.2623,3.63475,1E-3
8,1000000,0.2,2,10,1,0.4,0.2,2,14.6407,11.0083,3.63241,1E-5
2,100000,0,1,10,0.7,0.4,0.4,1,16.5034,12.8972,3.60622,1E-4
2,100000,0,2,10,0.7,0.4,0.4,1,16.5034,12.8972,3.60622,1E-4
8,100000,0.4,2,10,1,0.4,0,1,17.9471,14.3573,3.58985,1E-4
8,100000,0,1,10,1,0.2,0.4,1,16.588,12.9985,3.58947,1E-4
2,100000,0.4,1,10000,0.4,0,0.2,2,32.1915,28.6066,3.58488,1E-1
2,100000,0.4,2,10000,0.4,0,0.2,1,32.1915,28.6066,3.58488,1E-1
2,10000000,0.4,2,10,1,0.4,0.2,2,27.4879,23.9107,3.57722,1E-6
4,100000,0.2,1,10,1,0.4,0.2,2,20.6412,17.0649,3.57625,1E-4
2,10000000,0.2,2,10,1,0.4,0.2,2,27.4818,23.9138,3.56801,1E-6
4,100000,0.4,2,10000,1,0.4,0.4,2,67.6022,64.0354,3.5668,1E-1
8,10000000,0.2,2,10,1,0.4,0,1,16.4385,12.8764,3.56208,1E-6
2,10000000,0,1,10,1,0.4,0.2,2,27.4774,23.9206,3.55683,1E-6
2,10000000,0,2,10,1,0.4,0.2,2,27.4774,23.9206,3.55683,1E-6
8,100000,0.4,2,10000,0.4,0.2,0.4,1,31.5722,28.0186,3.55361,1E-1
4,10000000,0.4,1,10,1,0.2,0.2,1,17.7711,14.2178,3.55324,1E-6
4,100000,0.4,1,10000,0.7,0.4,0.4,2,50.9489,47.3979,3.55096,1E-1
2,10000000,0.2,1,10,1,0.4,0.2,2,27.4742,23.9319,3.54232,1E-6
