#1e3_noboost	1e6_noboost	1e3_boost	1e6_boost
0.65373	0.65057	0.80000	0.70000
0.65406	0.65057	0.70000	0.80000
0.65447	0.65057	0.60000	0.70000
0.65533	0.65060	0.70000	0.60000
0.65555	0.65060	0.60000	0.70000
0.65546	0.65060	0.50000	0.60000
0.65564	0.65059	0.60000	0.70000
0.65621	0.65058	0.50000	0.80000
0.65742	0.65059	0.40000	0.70000
0.65843	0.65058	0.50000	0.60000
0.65857	0.65059	0.40000	0.70000
0.65850	0.65060	0.30000	0.80000
0.65935	0.65059	0.40000	0.70000
0.65998	0.65059	0.50000	0.60000
0.66109	0.65056	0.60000	0.70000
0.66173	0.65057	0.50000	0.80000
0.66227	0.65056	0.60000	0.70000
0.66223	0.65055	0.70000	0.60000
0.66287	0.65054	0.60000	0.70000
0.66313	0.65054	0.50000	0.80000
0.66287	0.65053	0.60000	0.70000
0.66359	0.65053	0.50000	0.60000
0.66442	0.65055	0.40000	0.70000
0.66448	0.65054	0.30000	0.80000
0.66433	0.65053	0.40000	0.70000
0.66501	0.65052	0.50000	0.60000
0.66551	0.65051	0.40000	0.70000
0.66581	0.65053	0.50000	0.80000
0.66629	0.65051	0.60000	0.70000
0.66691	0.65050	0.70000	0.60000
0.66767	0.65052	0.60000	0.50000
0.66786	0.65054	0.50000	0.60000
0.66903	0.65052	0.40000	0.70000
0.67013	0.65053	0.50000	0.60000
0.67143	0.65054	0.40000	0.70000
0.67072	0.65054	0.50000	0.80000
0.67117	0.65056	0.60000	0.70000
0.67100	0.65058	0.70000	0.60000
0.67163	0.65058	0.60000	0.50000
0.67149	0.65057	0.50000	0.60000
0.67207	0.65057	0.60000	0.70000
0.67260	0.65055	0.70000	0.80000
0.67260	0.65056	0.80000	0.70000
0.67283	0.65058	0.70000	0.60000
0.67258	0.65061	0.60000	0.70000
0.67363	0.65060	0.50000	0.80000
0.67429	0.65063	0.60000	0.70000
0.67395	0.65063	0.70000	0.60000
0.67417	0.65064	0.80000	0.70000
0.67467	0.65062	0.70000	0.80000
0.67565	0.65062	0.60000	0.70000
0.67585	0.65062	0.70000	0.60000
0.67656	0.65062	0.80000	0.70000
0.67620	0.65063	0.70000	0.80000
0.67681	0.65065	0.60000	0.70000
0.67774	0.65065	0.70000	0.60000
0.67772	0.65066	0.80000	0.70000
0.67933	0.65066	0.70000	0.80000
0.67921	0.65066	0.80000	0.70000
0.67988	0.65068	0.90000	0.60000
0.67950	0.65068	0.80000	0.70000
0.68014	0.65064	0.70000	0.80000
0.68049	0.65062	0.80000	0.70000
0.68158	0.65059	0.90000	0.60000
0.68222	0.65055	0.80000	0.50000
0.68328	0.65055	0.70000	0.60000
0.68390	0.65055	0.80000	0.70000
0.68396	0.65058	0.90000	0.80000
0.68513	0.65058	0.80000	0.70000
0.68492	0.65060	0.70000	0.60000
0.68573	0.65060	0.60000	0.50000
0.68537	0.65060	0.70000	0.60000
0.68579	0.65058	0.60000	0.70000
0.68713	0.65056	0.50000	0.80000
0.68850	0.65056	0.60000	0.70000
0.68959	0.65055	0.70000	0.60000
0.69024	0.65055	0.60000	0.70000
0.69106	0.65056	0.50000	0.60000
0.69094	0.65058	0.60000	0.50000
0.69070	0.65059	0.70000	0.60000
0.69064	0.65058	0.60000	0.70000
0.69161	0.65056	0.70000	0.80000
0.69233	0.65056	0.80000	0.70000
0.69362	0.65059	0.70000	0.60000
0.69412	0.65058	0.60000	0.70000
0.69464	0.65057	0.70000	0.80000
0.69527	0.65056	0.60000	0.70000
0.69675	0.65056	0.50000	0.60000
0.69716	0.65058	0.60000	0.50000
0.69815	0.65058	0.70000	0.60000
0.69855	0.65059	0.60000	0.70000
0.69976	0.65058	0.70000	0.80000
0.70042	0.65057	0.80000	0.70000
0.70131	0.65056	0.70000	0.60000
0.70161	0.65055	0.60000	0.50000
0.70134	0.65056	0.70000	0.60000
0.70147	0.65056	0.80000	0.70000
0.70248	0.65057	0.70000	0.80000
0.70286	0.65057	0.80000	0.70000
0.70360	0.65056	0.70000	0.60000
0.70435	0.65061	0.80000	0.70000
0.70404	0.65062	0.90000	0.80000
0.70396	0.65062	0.90000	0.70000
0.70417	0.65062	0.80000	0.60000
0.70422	0.65064	0.70000	0.70000
0.70503	0.65066	0.60000	0.80000
0.70600	0.65065	0.70000	0.70000
0.70655	0.65065	0.80000	0.60000
0.70670	0.65064	0.70000	0.70000
