#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8 AS=9 AS=10 AS=11
480 5 0 0 0 0 0 0 0 0 0 0 0
481 6 0 0 0 0 0 0 0 0 0 0 0
482 4 0 0 0 0 0 0 0 0 0 0 0
483 7 0 0 0 0 0 0 0 0 0 0 0
484 3 0 0 0 0 0 0 0 0 0 0 0
485 10 0 0 0 0 0 0 0 0 0 0 0
486 7 0 0 0 0 0 0 0 0 0 0 0
487 1 0 0 0 0 0 0 0 0 0 0 0
488 6 0 0 0 0 0 0 0 0 0 0 0
489 4 0 0 0 0 0 0 0 0 0 0 0
490 4 0 0 0 0 0 0 0 0 0 0 0
491 6 0 0 0 0 0 0 0 0 0 0 0
492 0 0 0 0 0 0 0 0 0 0 0 0
493 9 0 0 0 0 0 0 0 0 0 0 0
494 4 0 0 0 0 0 0 0 0 0 0 0
495 7 0 0 0 0 0 0 0 0 0 0 0
496 2 0 0 0 0 0 0 0 0 0 0 0
497 4 0 0 0 0 0 0 0 0 0 0 0
498 4 0 0 0 0 0 0 0 0 0 0 0
499 4 0 0 0 0 0 0 0 0 0 0 0
500 0 0 0 0 0 0 0 0 0 0 0 0
501 3 0 0 0 0 0 0 0 0 0 0 0
502 5 0 0 0 0 0 0 0 0 0 0 0
503 3 0 0 0 0 0 0 0 0 0 0 0
504 3 0 0 0 0 0 0 0 0 0 0 0
505 6 0 0 0 0 0 0 0 0 0 0 0
506 4 0 0 0 0 0 0 0 0 0 0 0
507 7 0 0 0 0 0 0 0 0 0 0 0
508 4 0 0 0 0 0 0 0 0 0 0 0
509 5 0 0 0 0 0 0 0 0 0 0 0
510 5 0 0 0 0 0 0 0 0 0 0 0
511 6 0 0 0 0 0 0 0 0 0 0 0
512 11 0 0 0 0 0 0 0 0 0 0 0
513 6 0 0 0 0 0 0 0 0 0 0 0
514 2 0 0 0 0 0 0 0 0 0 0 0
515 5 0 0 0 0 0 0 0 0 0 0 0
516 3 0 0 0 0 0 0 0 0 0 0 0
517 6 0 0 0 0 0 0 0 0 0 0 0
518 4 0 0 0 0 0 0 0 0 0 0 0
519 4 0 0 0 0 0 0 0 0 0 0 0
520 4 0 0 0 0 0 0 0 0 0 0 0
521 6 0 0 0 0 0 0 0 0 0 0 0
522 2 0 0 0 0 0 0 0 0 0 0 0
523 5 0 0 0 0 0 0 0 0 0 0 0
524 3 0 0 0 0 0 0 0 0 0 0 0
